⛷️,スポーツ,suki-,スキー,スキー
🏂,スポーツ,suno-bo-da-,スノーボーダー,スノーボーダー
🏌️,スポーツ,gorufa-,ゴルファー,ゴルファー
🏌️‍♂️,スポーツ,gorufa-,ゴルファー,ゴルファー
🏌️‍♀️,スポーツ,gorufa-,ゴルファー,ゴルファー
🏄,スポーツ,sa-fa-,サーファー,サーファー
🏄‍♂️,スポーツ,sa-fa-,サーファー,サーファー
🏄‍♀️,スポーツ,sa-fa-,サーファー,サーファー
🚣,スポーツ,bo-toninoru,ボートにのる,ボートに乗る
🚣‍♂️,スポーツ,bo-toninoru,ボートにのる,ボートに乗る
🚣‍♀️,スポーツ,bo-toninoru,ボートにのる,ボートに乗る
🏊,スポーツ,suiei,すいえい,水泳
🏊‍♂️,スポーツ,suiei,すいえい,水泳
🏊‍♀️,スポーツ,suiei,すいえい,水泳
⛹️,スポーツ,bo-ruwotsuku,ボールをつく,ボールをつく
⛹️‍♂️,スポーツ,bo-ruwotsuku,ボールをつく,ボールをつく
⛹️‍♀️,スポーツ,bo-ruwotsuku,ボールをつく,ボールをつく
🏋️,スポーツ,juuryouage,じゅうりょうあげ,重量挙げ
🏋️‍♂️,スポーツ,juuryouage,じゅうりょうあげ,重量挙げ
🏋️‍♀️,スポーツ,juuryouage,じゅうりょうあげ,重量挙げ
🚴,スポーツ,jitennshaninoru,じてんしゃにのる,自転車に乗る
🚴‍♂️,スポーツ,jitennshaninoru,じてんしゃにのる,自転車に乗る
🚴‍♀️,スポーツ,jitennshaninoru,じてんしゃにのる,自転車に乗る
🚵,スポーツ,hirukuraimu,ヒルクライム,ヒルクライム
🚵‍♂️,スポーツ,hirukuraimu,ヒルクライム,ヒルクライム
🚵‍♀️,スポーツ,hirukuraimu,ヒルクライム,ヒルクライム
🤸,スポーツ,taisou,たいそう,体操
🤸‍♂️,スポーツ,taisou,たいそう,体操
🤸‍♀️,スポーツ,taisou,たいそう,体操
🤼,スポーツ,resurinngu,レスリング,レスリング
🤼‍♂️,スポーツ,resurinngu,レスリング,レスリング
🤼‍♀️,スポーツ,resurinngu,レスリング,レスリング
🤾,スポーツ,hanndobo-ru,ハンドボール,ハンドボール
🤾‍♂️,スポーツ,hanndobo-ru,ハンドボール,ハンドボール
🤾‍♀️,スポーツ,hanndobo-ru,ハンドボール,ハンドボール
🤹,スポーツ,jagurinngu,ジャグリング,ジャグリング
🤹‍♂️,スポーツ,jagurinngu,ジャグリング,ジャグリング
🤹‍♀️,スポーツ,jagurinngu,ジャグリング,ジャグリング
🧘,スポーツ,yoga,ヨガ,ヨガ
🧘‍♂️,スポーツ,yoga,ヨガ,ヨガ
🧘‍♀️,スポーツ,yoga,ヨガ,ヨガ
🛹,スポーツ,suke-tobo-do,スケートボード,スケートボード
🛼,スポーツ,ro-ra-suke-to,ローラースケート,ローラースケート
🛶,スポーツ,kanu-,カヌー,カヌー
🎖️,スポーツ,medaru,メダル,メダル
🏆,スポーツ,torofi-,トロフィー,トロフィー
🏅,スポーツ,medaru,メダル,メダル
🥇,スポーツ,medaru,メダル,メダル
🥈,スポーツ,medaru,メダル,メダル
🥉,スポーツ,medaru,メダル,メダル
⚽,スポーツ,sakka-bo-ru,サッカーボール,サッカーボール
⚾,スポーツ,yakyuubo-ru,やきゅうボール,野球ボール
🥎,スポーツ,sofutobo-ru,ソフトボール,ソフトボール
🏀,スポーツ,basukettobo-ru,バスケットボール,バスケットボール
🏐,スポーツ,bare-bo-ru,バレーボール,バレーボール
🏈,スポーツ,amerikannfuttobo-ru,アメリカンフットボール,アメリカンフットボール
🏉,スポーツ,ragubi-,ラグビー,ラグビー
🎾,スポーツ,tenisu,テニス,テニス
🥏,スポーツ,furainngudhisuku,フライングディスク,フライングディスク
🎳,スポーツ,bourinngu,ボウリング,ボウリング
🏏,スポーツ,kuriketto,クリケット,クリケット
🏑,スポーツ,fi-rudohokke-,フィールドホッケー,フィールドホッケー
🏒,スポーツ,aisuhokke-,アイスホッケー,アイスホッケー
🥍,スポーツ,rakurosu,ラクロス,ラクロス
🏓,スポーツ,takkyuu,たっきゅう,卓球
🏸,スポーツ,badominntonn,バドミントン,バドミントン
🥊,スポーツ,bokushinnguguro-bu,ボクシンググローブ,ボクシンググローブ
🥋,スポーツ,dougi,どうぎ,道着
🥅,スポーツ,go-runetto,ゴールネット,ゴールネット
⛳,スポーツ,gorufunohata,ゴルフのはた,ゴルフの旗
⛸️,スポーツ,aisusuke-to,アイススケート,アイススケート
🎣,スポーツ,tsuri,つり,釣り
🎽,スポーツ,rannninngushatsu,ランニングシャツ,ランニングシャツ
🎿,スポーツ,suki-,スキー,スキー
🛷,スポーツ,sori,そり,そり
🥌,スポーツ,ka-rinngusuto-nn,カーリングストーン,カーリングストーン
🎯,スポーツ,ooatari,おおあたり,大当たり
🎮,スポーツ,terebige-mu,テレビゲーム,テレビゲーム
🎰,スポーツ,surottomashinn,スロットマシン,スロットマシン
🎨,スポーツ,paretto,パレット,パレット
🎼,スポーツ,gakufu,がくふ,楽譜
🎤,スポーツ,maiku,マイク,マイク
🎧,スポーツ,heddohonn,ヘッドホン,ヘッドホン
🎷,スポーツ,sakkusu,サックス,サックス
🪗,スポーツ,ako-dhionn,アコーディオン,アコーディオン
🎸,スポーツ,gita-,ギター,ギター
🎹,スポーツ,kennbann,けんばん,鍵盤
🎺,スポーツ,torannpetto,トランペット,トランペット
🎻,スポーツ,baiorinn,バイオリン,バイオリン
🥁,スポーツ,doramu,ドラム,ドラム
🪘,スポーツ,taiko,たいこ,太鼓
🎬,スポーツ,kachinnko,カチンコ,カチンコ
🏹,スポーツ,yumiya,ゆみや,弓矢
🗾,旅行,nihonnchizu,にほんちず,日本地図
🏔️,旅行,yama,やま,山
⛰️,旅行,yama,やま,山
🌋,旅行,kazann,かざん,火山
🗻,旅行,fujisann,ふじさん,富士山
🏕️,旅行,kyannpu,キャンプ,キャンプ
🏖️,旅行,bi-chi,ビーチ,ビーチ
🏜️,旅行,sabaku,さばく,砂漠
🏝️,旅行,mujinntou,むじんとう,無人島
🏞️,旅行,kokuritsukouenn,こくりつこうえん,国立公園
🏟️,旅行,sutajiamu,スタジアム,スタジアム
🏛️,旅行,iseki,いせき,遺跡
🏗️,旅行,kennchikuchuu,けんちくちゅう,建築中
🏘️,旅行,ie,いえ,家
🏚️,旅行,ie,いえ,家
🏠,旅行,ie,いえ,家
🏡,旅行,ie,いえ,家
🏢,旅行,ofisubiru,オフィスビル,オフィスビル
🏣,旅行,yuubinnkyoku,ゆうびんきょく,郵便局
🏥,旅行,byouinn,びょういん,病院
🏦,旅行,ginnkou,ぎんこう,銀行
🏨,旅行,hoteru,ホテル,ホテル
🏪,旅行,konnbiniennsusutoa,コンビニエンスストア,コンビニエンスストア
🏫,旅行,gakkou,がっこう,学校
🏬,旅行,depa-to,デパート,デパート
🏭,旅行,koujou,こうじょう,工場
🏯,旅行,shiro,しろ,城
🏰,旅行,shiro,しろ,城
💒,旅行,kekkonnshiki,けっこんしき,結婚式
🗼,旅行,toukyoutawa-,とうきょうタワー,東京タワー
⛪,旅行,kyoukai,きょうかい,教会
⛩️,旅行,torii,とりい,鳥居
⛲,旅行,funnsui,ふんすい,噴水
⛺,旅行,tennto,テント,テント
🌁,旅行,kiri,きり,霧
🌄,旅行,hinode,ひので,日の出
🌅,旅行,hinode,ひので,日の出
🌇,旅行,yuuyake,ゆうやけ,夕焼け
🎡,旅行,kannrannsha,かんらんしゃ,観覧車
🎢,旅行,jettoko-suta-,ジェットコースター,ジェットコースター
🚆,旅行,ressha,れっしゃ,列車
🚇,旅行,chikatetsu,ちかてつ,地下鉄
🚉,旅行,eki,えき,駅
🚝,旅行,monore-ru,モノレール,モノレール
🚌,旅行,basu,バス,バス
🚍,旅行,basu,バス,バス
🚑,旅行,kyuukyuusha,きゅうきゅうしゃ,救急車
🚒,旅行,shoubousha,しょうぼうしゃ,消防車
🚓,旅行,patoka-,パトカー,パトカー
🚔,旅行,patoka-,パトカー,パトカー
🚕,旅行,takushi-,タクシー,タクシー
🚖,旅行,takushi-,タクシー,タクシー
🚗,旅行,jidousha,じどうしゃ,自動車
🚘,旅行,jidousha,じどうしゃ,自動車
